job_title,avg_salary
3D Computer Vision Researcher,30000.0
AI Developer,237500.0
AI Scientist,154000.0
Analytics Engineer,160244.0
Applied Data Scientist,238000.0
Applied Machine Learning Engineer,130000.0
Applied Machine Learning Scientist,188800.0
Applied Scientist,190264.0
BI Analyst,121200.0
BI Data Analyst,77500.0
BI Data Engineer,60000.0
BI Developer,129846.0
Big Data Architect,99703.0
Big Data Engineer,115656.0
Business Data Analyst,100267.0
Business Intelligence Engineer,174150.0
Cloud Data Architect,250000.0
Cloud Database Engineer,155000.0
Computer Vision Engineer,215218.0
Computer Vision Software Engineer,70000.0
Data Analyst,116756.0
Data Analytics Consultant,113000.0
Data Analytics Engineer,122500.0
Data Analytics Lead,405000.0
Data Analytics Manager,142302.0
Data Analytics Specialist,95000.0
Data Architect,162657.0
Data Engineer,153022.0
Data Infrastructure Engineer,175052.0
Data Lead,212500.0
Data Manager,125659.0
Data Modeler,118900.0
Data Operations Analyst,90563.0
Data Operations Engineer,98485.0
Data Quality Analyst,82863.0
Data Science Consultant,113750.0
Data Science Engineer,122407.0
Data Science Lead,186167.0
Data Science Manager,201262.0
Data Science Tech Lead,375000.0
Data Scientist,158682.0
Data Scientist Lead,183000.0
Data Specialist,120769.0
Data Strategist,81000.0
Deep Learning Engineer,130000.0
Director of Data Science,249204.0
ETL Developer,151184.0
Financial Data Analyst,101667.0
Head of Data,239820.0
Head of Data Science,202355.0
Lead Data Analyst,108333.0
Lead Data Engineer,195611.0
Lead Data Scientist,179623.0
ML Engineer,173531.0
MLOps Engineer,129000.0
Machine Learning Developer,111209.0
Machine Learning Engineer,173587.0
Machine Learning Infrastructure Engineer,183549.0
Machine Learning Manager,155701.0
Machine Learning Researcher,117047.0
Machine Learning Scientist,177920.0
Machine Learning Software Engineer,212689.0
Manager Data Management,125000.0
NLP Engineer,205000.0
Principal Data Analyst,122500.0
Principal Data Engineer,192500.0
Principal Data Scientist,255500.0
Principal Machine Learning Engineer,190000.0
Product Data Analyst,120000.0
Research Engineer,168157.0
Research Scientist,178739.0
Staff Data Scientist,105000.0
