job_title,count
AI Developer,10
AI Scientist,7
Analytics Engineer,100
Applied Data Scientist,5
Applied Machine Learning Engineer,1
Applied Machine Learning Scientist,5
Applied Scientist,58
Azure Data Engineer,1
BI Analyst,7
BI Data Analyst,9
BI Data Engineer,1
BI Developer,13
Big Data Architect,2
Big Data Engineer,4
Business Data Analyst,8
Business Intelligence Engineer,4
Cloud Data Architect,1
Cloud Data Engineer,1
Cloud Database Engineer,5
Computer Vision Engineer,12
Computer Vision Software Engineer,2
Data Analyst,555
Data Analytics Consultant,1
Data Analytics Engineer,3
Data Analytics Lead,1
Data Analytics Manager,22
Data Analytics Specialist,2
Data Architect,101
Data DevOps Engineer,1
Data Engineer,995
Data Infrastructure Engineer,6
Data Lead,2
Data Management Specialist,1
Data Manager,27
Data Modeler,2
Data Operations Analyst,4
Data Operations Engineer,10
Data Quality Analyst,7
Data Science Consultant,19
Data Science Engineer,3
Data Science Lead,8
Data Science Manager,55
Data Science Tech Lead,1
Data Scientist,750
Data Scientist Lead,2
Data Specialist,13
Data Strategist,2
Deep Learning Engineer,5
Deep Learning Researcher,1
Director of Data Science,10
ETL Developer,10
ETL Engineer,2
Finance Data Analyst,1
Financial Data Analyst,3
Head of Data,8
Head of Data Science,9
Head of Machine Learning,1
Insight Analyst,1
Lead Data Analyst,3
Lead Data Engineer,4
Lead Data Scientist,7
Lead Machine Learning Engineer,3
ML Engineer,30
MLOps Engineer,4
Machine Learning Developer,4
Machine Learning Engineer,269
Machine Learning Infrastructure Engineer,11
Machine Learning Manager,3
Machine Learning Research Engineer,2
Machine Learning Researcher,5
Machine Learning Scientist,22
Machine Learning Software Engineer,9
Manager Data Management,1
Marketing Data Analyst,1
Marketing Data Engineer,1
NLP Engineer,4
Principal Data Analyst,2
Principal Data Engineer,2
Principal Data Scientist,8
Principal Machine Learning Engineer,1
Product Data Analyst,2
Research Engineer,37
Research Scientist,78
Software Data Engineer,1
Staff Data Scientist,1
